Metric,Value
CrawlingTime_ms,14198.09
ParsingTime_ms,0.22
TokenizingTime_ms,1.94
StemmingTime_ms,0.00
IndexingTime_ms,1170.20
QueryProcessingTime_ms,0.13
TotalExecutionTime_ms,0.01
InitialMemoryUsage_KB,2441216
FinalMemoryUsage_KB,85917696
PeakMemoryUsage_KB,0
MemoryIncrease_KB,83476480
Documents,37
TotalTokens,103691
UniqueTerms,10000
QueriesProcessed,5
AvgQueryLatency_ms,0.03
