Metric,Value
CrawlingTime_ms,32000.65
ParsingTime_ms,0.05
TokenizingTime_ms,0.05
IndexingTime_ms,0.06
QueryProcessingTime_ms,2.13
TotalExecutionTime_ms,2.15
MemoryUsage_KB,6782976
Documents,11
UniqueTerms,283
AvgQueryLatency_ms,2.13
